Country,EdLevel,Employment,Job Title,Gender,YearsCodePro,Salary
Australia,Associate,full-time,Other,Female,4,70481.75
Australia,Associate,full-time,Other,Female,6,80587.5
Australia,Associate,full-time,Other,Female,7,71116.5
Australia,Associate,full-time,Other,Female,8,110146.0
Australia,Associate,full-time,Other,Female,11,93001.0
Australia,Associate,full-time,Other,Female,14,107770.5
Australia,Associate,full-time,Other,Female,15,106328.5
Australia,Associate,full-time,Other,Female,20,120077.5
Australia,Associate,full-time,Other,Female,21,144950.33333333334
Australia,Associate,full-time,Other,Female,22,134950.33333333334
Australia,Associate,full-time,Other,Female,25,127462.5
Australia,Associate,full-time,Other,Male,0,53051.0
Australia,Associate,full-time,Other,Male,2,35875.5
Australia,Associate,full-time,Other,Male,3,74501.0
Australia,Associate,full-time,Other,Male,4,76106.75
Australia,Associate,full-time,Other,Male,6,84962.5
Australia,Associate,full-time,Other,Male,7,76116.5
Australia,Associate,full-time,Other,Male,8,117021.0
Australia,Associate,full-time,Other,Male,11,96001.0
Australia,Associate,full-time,Other,Male,14,106937.16666666667
Australia,Associate,full-time,Other,Male,15,116328.5
Australia,Associate,full-time,Other,Male,20,109577.5
Australia,Associate,full-time,Other,Male,21,137867.0
Australia,Associate,full-time,Other,Male,22,141617.0
Australia,Associate,full-time,Other,Male,24,163216.5
Australia,Associate,full-time,Other,Male,25,149962.5
Australia,Associate,full-time,Senior Business Analyst,Female,15,123828.5
Australia,Associate,full-time,Senior Business Analyst,Male,6,87462.5
Australia,Associate,full-time,Senior Business Analyst,Male,8,117021.0
Australia,Associate,full-time,Senior Financial Analyst,Female,6,89962.5
Australia,Associate,full-time,Senior Financial Analyst,Male,6,89962.5
Australia,Associate,full-time,Senior Financial Analyst,Male,8,115771.0
Australia,Associate,full-time,Senior Operations Manager,Male,7,91116.5
Australia,Associate,full-time,Senior Operations Manager,Male,8,118271.0
Australia,Associate,full-time,Senior Product Manager,Male,7,81116.5
Australia,Associate,full-time,Senior Product Manager,Male,8,118271.0
Australia,Associate,full-time,Senior Product Manager,Male,14,122770.5
Australia,Associate,part-time,Other,Female,12,81635.5
Australia,Associate,part-time,Other,Female,22,119026.83333333333
Australia,Associate,part-time,Other,Male,12,92885.5
Australia,Associate,part-time,Other,Male,22,125693.5
Australia,Associate,part-time,Senior Financial Analyst,Male,12,100385.5
Australia,Associate,part-time,Senior Operations Manager,Male,12,90385.5
Australia,Bachelor,freelancer,Junior Business Analyst,Male,1,43160.0
Australia,Bachelor,freelancer,Junior Business Analyst,Male,2,48780.166666666664
Australia,Bachelor,freelancer,Junior Business Analyst,Male,4,75114.0
Australia,Bachelor,freelancer,Junior Business Development Associate,Female,1,40660.0
Australia,Bachelor,freelancer,Junior Business Development Associate,Female,3,55607.0
Australia,Bachelor,freelancer,Junior Business Development Associate,Male,1,40660.0
Australia,Bachelor,freelancer,Junior Business Development Associate,Male,2,48780.166666666664
Australia,Bachelor,freelancer,Junior Financial Analyst,Female,3,55607.0
Australia,Bachelor,freelancer,Junior Financial Analyst,Female,5,89801.75
Australia,Bachelor,freelancer,Junior Financial Analyst,Male,2,48780.166666666664
Australia,Bachelor,freelancer,Junior Financial Analyst,Male,3,55607.0
Australia,Bachelor,freelancer,Junior Financial Analyst,Male,4,75114.0
Australia,Bachelor,freelancer,Junior Marketing Coordinator,Female,2,48780.166666666664
Australia,Bachelor,freelancer,Junior Marketing Coordinator,Female,3,55607.0
Australia,Bachelor,freelancer,Junior Marketing Coordinator,Male,2,48780.166666666664
Australia,Bachelor,freelancer,Junior Marketing Coordinator,Male,3,58107.0
Australia,Bachelor,freelancer,Junior Marketing Manager,Female,4,72614.0
Australia,Bachelor,freelancer,Junior Marketing Manager,Female,5,94801.75
Australia,Bachelor,freelancer,Junior Marketing Specialist,Female,1,43160.0
Australia,Bachelor,freelancer,Junior Marketing Specialist,Female,2,48780.166666666664
Australia,Bachelor,freelancer,Junior Marketing Specialist,Male,3,53107.0
Australia,Bachelor,freelancer,Junior Marketing Specialist,Male,5,94801.75
Australia,Bachelor,freelancer,Junior Operations Analyst,Female,5,89801.75
Australia,Bachelor,freelancer,Junior Operations Analyst,Male,1,40660.0
Australia,Bachelor,freelancer,Junior Operations Analyst,Male,3,55607.0
Australia,Bachelor,freelancer,Junior Sales Representative,Female,1,43160.0
Australia,Bachelor,freelancer,Junior Sales Representative,Female,2,48780.166666666664
Australia,Bachelor,freelancer,Junior Sales Representative,Male,1,40660.0
Australia,Bachelor,freelancer,Junior Sales Representative,Male,3,53107.0
Australia,Bachelor,freelancer,Other,Female,1,44410.0
Australia,Bachelor,freelancer,Other,Female,2,55030.166666666664
Australia,Bachelor,freelancer,Other,Female,3,56107.0
Australia,Bachelor,freelancer,Other,Female,4,71364.0
Australia,Bachelor,freelancer,Other,Female,5,91051.75
Australia,Bachelor,freelancer,Other,Female,6,93680.25
Australia,Bachelor,freelancer,Other,Female,8,86888.1
Australia,Bachelor,freelancer,Other,Female,9,118896.0
Australia,Bachelor,freelancer,Other,Female,10,97815.70833333333
Australia,Bachelor,freelancer,Other,Female,11,85924.0
Australia,Bachelor,freelancer,Other,Female,12,104199.0
Australia,Bachelor,freelancer,Other,Female,14,109540.0
Australia,Bachelor,freelancer,Other,Female,15,140656.25
Australia,Bachelor,freelancer,Other,Female,17,117193.75
Australia,Bachelor,freelancer,Other,Female,18,163475.0
Australia,Bachelor,freelancer,Other,Female,20,155463.25
Australia,Bachelor,freelancer,Other,Female,22,112834.08333333333
Australia,Bachelor,freelancer,Other,Female,23,138290.0
Australia,Bachelor,freelancer,Other,Female,25,167272.0
Australia,Bachelor,freelancer,Other,Male,1,35718.333333333336
Australia,Bachelor,freelancer,Other,Male,2,51280.166666666664
Australia,Bachelor,freelancer,Other,Male,3,59107.0
Australia,Bachelor,freelancer,Other,Male,4,76989.0
Australia,Bachelor,freelancer,Other,Male,5,95635.08333333333
Australia,Bachelor,freelancer,Other,Male,6,98055.25
Australia,Bachelor,freelancer,Other,Male,8,93763.1
Australia,Bachelor,freelancer,Other,Male,9,123771.0
Australia,Bachelor,freelancer,Other,Male,10,108929.543230563
Australia,Bachelor,freelancer,Other,Male,11,88924.0
Australia,Bachelor,freelancer,Other,Male,12,115449.0
Australia,Bachelor,freelancer,Other,Male,14,108706.66666666667
Australia,Bachelor,freelancer,Other,Male,15,150656.25
Australia,Bachelor,freelancer,Other,Male,17,128027.08333333333
Australia,Bachelor,freelancer,Other,Male,18,162225.0
Australia,Bachelor,freelancer,Other,Male,20,144963.25
Australia,Bachelor,freelancer,Other,Male,22,119500.75
Australia,Bachelor,freelancer,Other,Male,25,189772.0
Australia,Bachelor,freelancer,Senior Business Analyst,Female,10,110732.375
Australia,Bachelor,freelancer,Senior Business Analyst,Female,15,158156.25
Australia,Bachelor,freelancer,Senior Business Analyst,Male,6,100555.25
Australia,Bachelor,freelancer,Senior Business Analyst,Male,8,93763.1
Australia,Bachelor,freelancer,Senior Business Analyst,Male,9,123271.0
Australia,Bachelor,freelancer,Senior Financial Analyst,Female,6,103055.25
Australia,Bachelor,freelancer,Senior Financial Analyst,Female,9,120771.0
Australia,Bachelor,freelancer,Senior Financial Analyst,Female,18,163475.0
Australia,Bachelor,freelancer,Senior Financial Analyst,Male,6,103055.25
Australia,Bachelor,freelancer,Senior Financial Analyst,Male,8,92513.1
Australia,Bachelor,freelancer,Senior Financial Analyst,Male,12,122949.0
Australia,Bachelor,freelancer,Senior Operations Manager,Female,10,115732.375
Australia,Bachelor,freelancer,Senior Operations Manager,Male,8,95013.1
Australia,Bachelor,freelancer,Senior Operations Manager,Male,9,120771.0
Australia,Bachelor,freelancer,Senior Operations Manager,Male,12,112949.0
Australia,Bachelor,freelancer,Senior Product Manager,Female,10,115732.375
Australia,Bachelor,freelancer,Senior Product Manager,Male,8,95013.1
Australia,Bachelor,freelancer,Senior Product Manager,Male,10,115732.375
Australia,Bachelor,freelancer,Senior Product Manager,Male,14,124540.0
Australia,Bachelor,full-time,Junior Business Analyst,Male,1,51658.75
Australia,Bachelor,full-time,Junior Business Analyst,Male,2,51109.67857142857
Australia,Bachelor,full-time,Junior Business Analyst,Male,4,71413.04761904762
Australia,Bachelor,full-time,Junior Business Development Associate,Female,1,49158.75
Australia,Bachelor,full-time,Junior Business Development Associate,Female,3,63307.0
Australia,Bachelor,full-time,Junior Business Development Associate,Male,1,49158.75
Australia,Bachelor,full-time,Junior Business Development Associate,Male,2,51109.67857142857
Australia,Bachelor,full-time,Junior Financial Analyst,Female,3,63307.0
Australia,Bachelor,full-time,Junior Financial Analyst,Female,5,75467.125
Australia,Bachelor,full-time,Junior Financial Analyst,Male,2,51109.67857142857
Australia,Bachelor,full-time,Junior Financial Analyst,Male,3,63307.0
Australia,Bachelor,full-time,Junior Financial Analyst,Male,4,71413.04761904762
Australia,Bachelor,full-time,Junior Marketing Coordinator,Female,2,51109.67857142857
Australia,Bachelor,full-time,Junior Marketing Coordinator,Female,3,63307.0
Australia,Bachelor,full-time,Junior Marketing Coordinator,Male,2,51109.67857142857
Australia,Bachelor,full-time,Junior Marketing Coordinator,Male,3,65807.0
Australia,Bachelor,full-time,Junior Marketing Manager,Female,4,68913.04761904762
Australia,Bachelor,full-time,Junior Marketing Manager,Female,5,80467.125
Australia,Bachelor,full-time,Junior Marketing Specialist,Female,1,51658.75
Australia,Bachelor,full-time,Junior Marketing Specialist,Female,2,51109.67857142857
Australia,Bachelor,full-time,Junior Marketing Specialist,Male,3,60807.0
Australia,Bachelor,full-time,Junior Marketing Specialist,Male,5,80467.125
Australia,Bachelor,full-time,Junior Operations Analyst,Female,5,75467.125
Australia,Bachelor,full-time,Junior Operations Analyst,Male,1,49158.75
Australia,Bachelor,full-time,Junior Operations Analyst,Male,3,63307.0
Australia,Bachelor,full-time,Junior Sales Representative,Female,1,51658.75
Australia,Bachelor,full-time,Junior Sales Representative,Female,2,51109.67857142857
Australia,Bachelor,full-time,Junior Sales Representative,Male,1,49158.75
Australia,Bachelor,full-time,Junior Sales Representative,Male,3,60807.0
Australia,Bachelor,full-time,Other,Female,0,42914.45
Australia,Bachelor,full-time,Other,Female,1,52908.75
Australia,Bachelor,full-time,Other,Female,2,57359.67857142857
Australia,Bachelor,full-time,Other,Female,3,63807.0
Australia,Bachelor,full-time,Other,Female,4,67663.04761904762
Australia,Bachelor,full-time,Other,Female,5,76717.125
Australia,Bachelor,full-time,Other,Female,6,80249.55555555556
Australia,Bachelor,full-time,Other,Female,7,82131.96666666666
Australia,Bachelor,full-time,Other,Female,8,94190.38888888889
Australia,Bachelor,full-time,Other,Female,9,100004.11111111111
Australia,Bachelor,full-time,Other,Female,10,93011.98333333334
Australia,Bachelor,full-time,Other,Female,11,85889.5
Australia,Bachelor,full-time,Other,Female,12,98533.77272727272
Australia,Bachelor,full-time,Other,Female,13,108107.5625
Australia,Bachelor,full-time,Other,Female,14,119403.5
Australia,Bachelor,full-time,Other,Female,15,116255.45833333333
Australia,Bachelor,full-time,Other,Female,16,133283.05555555556
Australia,Bachelor,full-time,Other,Female,17,121958.10714285714
Australia,Bachelor,full-time,Other,Female,18,129558.0
Australia,Bachelor,full-time,Other,Female,19,144945.58333333334
Australia,Bachelor,full-time,Other,Female,20,155339.5
Australia,Bachelor,full-time,Other,Female,21,153970.83333333334
Australia,Bachelor,full-time,Other,Female,22,136483.55555555556
Australia,Bachelor,full-time,Other,Female,23,143597.625
Australia,Bachelor,full-time,Other,Female,25,142500.58333333334
Australia,Bachelor,full-time,Other,Male,0,41664.45
Australia,Bachelor,full-time,Other,Male,1,44217.083333333336
Australia,Bachelor,full-time,Other,Male,2,53609.67857142857
Australia,Bachelor,full-time,Other,Male,3,66807.0
Australia,Bachelor,full-time,Other,Male,4,73288.04761904762
Australia,Bachelor,full-time,Other,Male,5,81300.45833333333
Australia,Bachelor,full-time,Other,Male,6,84624.55555555556
Australia,Bachelor,full-time,Other,Male,7,87131.96666666666
Australia,Bachelor,full-time,Other,Male,8,101065.38888888889
Australia,Bachelor,full-time,Other,Male,9,104879.11111111111
Australia,Bachelor,full-time,Other,Male,10,104125.818230563
Australia,Bachelor,full-time,Other,Male,11,88889.5
Australia,Bachelor,full-time,Other,Male,12,109783.77272727272
Australia,Bachelor,full-time,Other,Male,13,119357.5625
Australia,Bachelor,full-time,Other,Male,14,118570.16666666667
Australia,Bachelor,full-time,Other,Male,15,126255.45833333333
Australia,Bachelor,full-time,Other,Male,16,134175.9126984127
Australia,Bachelor,full-time,Other,Male,17,132791.44047619047
Australia,Bachelor,full-time,Other,Male,18,128308.0
Australia,Bachelor,full-time,Other,Male,19,152758.08333333334
Australia,Bachelor,full-time,Other,Male,20,144839.5
Australia,Bachelor,full-time,Other,Male,21,146887.5
Australia,Bachelor,full-time,Other,Male,22,143150.22222222222
Australia,Bachelor,full-time,Other,Male,24,165638.5
Australia,Bachelor,full-time,Other,Male,25,165000.58333333334
Australia,Bachelor,full-time,Senior Business Analyst,Female,10,105928.65
Australia,Bachelor,full-time,Senior Business Analyst,Female,15,133755.45833333334
Australia,Bachelor,full-time,Senior Business Analyst,Male,6,87124.55555555556
Australia,Bachelor,full-time,Senior Business Analyst,Male,8,101065.38888888889
Australia,Bachelor,full-time,Senior Business Analyst,Male,9,104379.11111111111
Australia,Bachelor,full-time,Senior Financial Analyst,Female,6,89624.55555555556
Australia,Bachelor,full-time,Senior Financial Analyst,Female,9,101879.11111111111
Australia,Bachelor,full-time,Senior Financial Analyst,Female,18,129558.0
Australia,Bachelor,full-time,Senior Financial Analyst,Male,6,89624.55555555556
Australia,Bachelor,full-time,Senior Financial Analyst,Male,8,99815.38888888889
Australia,Bachelor,full-time,Senior Financial Analyst,Male,12,117283.77272727272
Australia,Bachelor,full-time,Senior Operations Manager,Female,10,110928.65
Australia,Bachelor,full-time,Senior Operations Manager,Male,7,102131.96666666666
Australia,Bachelor,full-time,Senior Operations Manager,Male,8,102315.38888888889
Australia,Bachelor,full-time,Senior Operations Manager,Male,9,101879.11111111111
Australia,Bachelor,full-time,Senior Operations Manager,Male,12,107283.77272727272
Australia,Bachelor,full-time,Senior Product Manager,Female,10,110928.65
Australia,Bachelor,full-time,Senior Product Manager,Male,7,92131.96666666666
Australia,Bachelor,full-time,Senior Product Manager,Male,8,102315.38888888889
Australia,Bachelor,full-time,Senior Product Manager,Male,10,110928.65
Australia,Bachelor,full-time,Senior Product Manager,Male,14,134403.5
Australia,Bachelor,part-time,Junior Business Analyst,Male,2,53121.0
Australia,Bachelor,part-time,Junior Business Analyst,Male,4,47693.0
Australia,Bachelor,part-time,Junior Business Development Associate,Female,3,48000.0
Australia,Bachelor,part-time,Junior Business Development Associate,Male,2,53121.0
Australia,Bachelor,part-time,Junior Financial Analyst,Female,3,48000.0
Australia,Bachelor,part-time,Junior Financial Analyst,Female,5,72038.0
Australia,Bachelor,part-time,Junior Financial Analyst,Male,2,53121.0
Australia,Bachelor,part-time,Junior Financial Analyst,Male,3,48000.0
Australia,Bachelor,part-time,Junior Financial Analyst,Male,4,47693.0
Australia,Bachelor,part-time,Junior Marketing Coordinator,Female,2,53121.0
Australia,Bachelor,part-time,Junior Marketing Coordinator,Female,3,48000.0
Australia,Bachelor,part-time,Junior Marketing Coordinator,Male,2,53121.0
Australia,Bachelor,part-time,Junior Marketing Coordinator,Male,3,50500.0
Australia,Bachelor,part-time,Junior Marketing Manager,Female,4,45193.0
Australia,Bachelor,part-time,Junior Marketing Manager,Female,5,77038.0
Australia,Bachelor,part-time,Junior Marketing Specialist,Female,2,53121.0
Australia,Bachelor,part-time,Junior Marketing Specialist,Male,3,45500.0
Australia,Bachelor,part-time,Junior Marketing Specialist,Male,5,77038.0
Australia,Bachelor,part-time,Junior Operations Analyst,Female,5,72038.0
Australia,Bachelor,part-time,Junior Operations Analyst,Male,3,48000.0
Australia,Bachelor,part-time,Junior Sales Representative,Female,2,53121.0
Australia,Bachelor,part-time,Junior Sales Representative,Male,3,45500.0
Australia,Bachelor,part-time,Other,Female,2,59371.0
Australia,Bachelor,part-time,Other,Female,3,48500.0
Australia,Bachelor,part-time,Other,Female,4,43943.0
Australia,Bachelor,part-time,Other,Female,5,73288.0
Australia,Bachelor,part-time,Other,Female,7,84209.0
Australia,Bachelor,part-time,Other,Female,8,76530.0
Australia,Bachelor,part-time,Other,Female,9,118896.0
Australia,Bachelor,part-time,Other,Female,11,83093.5
Australia,Bachelor,part-time,Other,Female,13,92131.0
Australia,Bachelor,part-time,Other,Female,15,89350.0
Australia,Bachelor,part-time,Other,Female,17,117193.75
Australia,Bachelor,part-time,Other,Female,20,136001.0
Australia,Bachelor,part-time,Other,Female,25,125693.5
Australia,Bachelor,part-time,Other,Male,2,55621.0
Australia,Bachelor,part-time,Other,Male,3,51500.0
Australia,Bachelor,part-time,Other,Male,4,49568.0
Australia,Bachelor,part-time,Other,Male,5,77871.33333333333
Australia,Bachelor,part-time,Other,Male,7,89209.0
Australia,Bachelor,part-time,Other,Male,8,83405.0
Australia,Bachelor,part-time,Other,Male,9,123771.0
Australia,Bachelor,part-time,Other,Male,11,86093.5
Australia,Bachelor,part-time,Other,Male,13,103381.0
Australia,Bachelor,part-time,Other,Male,15,99350.0
Australia,Bachelor,part-time,Other,Male,17,128027.08333333333
Australia,Bachelor,part-time,Other,Male,20,125501.0
Australia,Bachelor,part-time,Other,Male,25,148193.5
Australia,Bachelor,part-time,Senior Business Analyst,Female,15,106850.0
Australia,Bachelor,part-time,Senior Business Analyst,Male,8,83405.0
Australia,Bachelor,part-time,Senior Business Analyst,Male,9,123271.0
Australia,Bachelor,part-time,Senior Financial Analyst,Female,9,120771.0
Australia,Bachelor,part-time,Senior Financial Analyst,Male,8,82155.0
Australia,Bachelor,part-time,Senior Operations Manager,Male,7,104209.0
Australia,Bachelor,part-time,Senior Operations Manager,Male,8,84655.0
Australia,Bachelor,part-time,Senior Operations Manager,Male,9,120771.0
Australia,Bachelor,part-time,Senior Product Manager,Male,7,94209.0
Australia,Bachelor,part-time,Senior Product Manager,Male,8,84655.0
Australia,Doctoral,freelancer,Other,Female,8,64851.0
Australia,Doctoral,freelancer,Other,Female,10,75883.58333333333
Australia,Doctoral,freelancer,Other,Female,20,136001.0
Australia,Doctoral,freelancer,Other,Male,8,71726.0
Australia,Doctoral,freelancer,Other,Male,10,86997.418230563
Australia,Doctoral,freelancer,Other,Male,20,125501.0
Australia,Doctoral,freelancer,Senior Business Analyst,Female,10,88800.25
Australia,Doctoral,freelancer,Senior Business Analyst,Male,8,71726.0
Australia,Doctoral,freelancer,Senior Financial Analyst,Male,8,70476.0
Australia,Doctoral,freelancer,Senior Operations Manager,Female,10,93800.25
Australia,Doctoral,freelancer,Senior Operations Manager,Male,8,72976.0
Australia,Doctoral,freelancer,Senior Product Manager,Female,10,93800.25
Australia,Doctoral,freelancer,Senior Product Manager,Male,8,72976.0
Australia,Doctoral,freelancer,Senior Product Manager,Male,10,93800.25
Australia,Doctoral,full-time,Junior Business Analyst,Male,1,49724.0
Australia,Doctoral,full-time,Junior Business Analyst,Male,4,78478.0
Australia,Doctoral,full-time,Junior Business Development Associate,Female,1,47224.0
Australia,Doctoral,full-time,Junior Business Development Associate,Female,3,78078.5
Australia,Doctoral,full-time,Junior Business Development Associate,Male,1,47224.0
Australia,Doctoral,full-time,Junior Financial Analyst,Female,3,78078.5
Australia,Doctoral,full-time,Junior Financial Analyst,Female,5,82016.83333333333
Australia,Doctoral,full-time,Junior Financial Analyst,Male,3,78078.5
Australia,Doctoral,full-time,Junior Financial Analyst,Male,4,78478.0
Australia,Doctoral,full-time,Junior Marketing Coordinator,Female,3,78078.5
Australia,Doctoral,full-time,Junior Marketing Coordinator,Male,3,80578.5
Australia,Doctoral,full-time,Junior Marketing Manager,Female,4,75978.0
Australia,Doctoral,full-time,Junior Marketing Manager,Female,5,87016.83333333333
Australia,Doctoral,full-time,Junior Marketing Specialist,Female,1,49724.0
Australia,Doctoral,full-time,Junior Marketing Specialist,Male,3,75578.5
Australia,Doctoral,full-time,Junior Marketing Specialist,Male,5,87016.83333333333
Australia,Doctoral,full-time,Junior Operations Analyst,Female,5,82016.83333333333
Australia,Doctoral,full-time,Junior Operations Analyst,Male,1,47224.0
Australia,Doctoral,full-time,Junior Operations Analyst,Male,3,78078.5
Australia,Doctoral,full-time,Junior Sales Representative,Female,1,49724.0
Australia,Doctoral,full-time,Junior Sales Representative,Male,1,47224.0
Australia,Doctoral,full-time,Junior Sales Representative,Male,3,75578.5
Australia,Doctoral,full-time,Other,Female,0,61732.0
Australia,Doctoral,full-time,Other,Female,1,50974.0
Australia,Doctoral,full-time,Other,Female,3,78578.5
Australia,Doctoral,full-time,Other,Female,4,74728.0
Australia,Doctoral,full-time,Other,Female,5,83266.83333333333
Australia,Doctoral,full-time,Other,Female,6,77049.0
Australia,Doctoral,full-time,Other,Female,7,143656.5
Australia,Doctoral,full-time,Other,Female,8,74937.5
Australia,Doctoral,full-time,Other,Female,9,85987.5
Australia,Doctoral,full-time,Other,Female,10,99115.41666666667
Australia,Doctoral,full-time,Other,Female,12,79866.5
Australia,Doctoral,full-time,Other,Female,14,124755.5
Australia,Doctoral,full-time,Other,Female,15,105314.75
Australia,Doctoral,full-time,Other,Female,17,107462.5
Australia,Doctoral,full-time,Other,Female,18,124540.0
Australia,Doctoral,full-time,Other,Female,20,137770.5
Australia,Doctoral,full-time,Other,Female,22,127883.33333333333
Australia,Doctoral,full-time,Other,Female,23,137936.0
Australia,Doctoral,full-time,Other,Female,25,137547.5
Australia,Doctoral,full-time,Other,Male,0,60482.0
Australia,Doctoral,full-time,Other,Male,1,42282.333333333336
Australia,Doctoral,full-time,Other,Male,3,81578.5
Australia,Doctoral,full-time,Other,Male,4,80353.0
Australia,Doctoral,full-time,Other,Male,5,87850.16666666667
Australia,Doctoral,full-time,Other,Male,6,81424.0
Australia,Doctoral,full-time,Other,Male,7,148656.5
Australia,Doctoral,full-time,Other,Male,8,81812.5
Australia,Doctoral,full-time,Other,Male,9,90862.5
Australia,Doctoral,full-time,Other,Male,10,110229.25156389632
Australia,Doctoral,full-time,Other,Male,12,91116.5
Australia,Doctoral,full-time,Other,Male,14,123922.16666666667
Australia,Doctoral,full-time,Other,Male,15,115314.75
Australia,Doctoral,full-time,Other,Male,17,118295.83333333333
Australia,Doctoral,full-time,Other,Male,18,123290.0
Australia,Doctoral,full-time,Other,Male,20,127270.5
Australia,Doctoral,full-time,Other,Male,22,134550.0
Australia,Doctoral,full-time,Other,Male,25,160047.5
Australia,Doctoral,full-time,Senior Business Analyst,Female,10,112032.08333333333
Australia,Doctoral,full-time,Senior Business Analyst,Female,15,122814.75
Australia,Doctoral,full-time,Senior Business Analyst,Male,6,83924.0
Australia,Doctoral,full-time,Senior Business Analyst,Male,8,81812.5
Australia,Doctoral,full-time,Senior Business Analyst,Male,9,90362.5
Australia,Doctoral,full-time,Senior Financial Analyst,Female,6,86424.0
Australia,Doctoral,full-time,Senior Financial Analyst,Female,9,87862.5
Australia,Doctoral,full-time,Senior Financial Analyst,Female,18,124540.0
Australia,Doctoral,full-time,Senior Financial Analyst,Male,6,86424.0
Australia,Doctoral,full-time,Senior Financial Analyst,Male,8,80562.5
Australia,Doctoral,full-time,Senior Financial Analyst,Male,12,98616.5
Australia,Doctoral,full-time,Senior Operations Manager,Female,10,117032.08333333333
Australia,Doctoral,full-time,Senior Operations Manager,Male,7,163656.5
Australia,Doctoral,full-time,Senior Operations Manager,Male,8,83062.5
Australia,Doctoral,full-time,Senior Operations Manager,Male,9,87862.5
Australia,Doctoral,full-time,Senior Operations Manager,Male,12,88616.5
Australia,Doctoral,full-time,Senior Product Manager,Female,10,117032.08333333333
Australia,Doctoral,full-time,Senior Product Manager,Male,7,153656.5
Australia,Doctoral,full-time,Senior Product Manager,Male,8,83062.5
Australia,Doctoral,full-time,Senior Product Manager,Male,10,117032.08333333333
Australia,Doctoral,full-time,Senior Product Manager,Male,14,139755.5
Australia,Doctoral,part-time,Junior Business Analyst,Male,2,53603.0
Australia,Doctoral,part-time,Junior Business Development Associate,Male,2,53603.0
Australia,Doctoral,part-time,Junior Financial Analyst,Male,2,53603.0
Australia,Doctoral,part-time,Junior Marketing Coordinator,Female,2,53603.0
Australia,Doctoral,part-time,Junior Marketing Coordinator,Male,2,53603.0
Australia,Doctoral,part-time,Junior Marketing Specialist,Female,2,53603.0
Australia,Doctoral,part-time,Junior Sales Representative,Female,2,53603.0
Australia,Doctoral,part-time,Other,Female,2,59853.0
Australia,Doctoral,part-time,Other,Male,2,56103.0
Australia,Master,freelancer,Other,Female,10,111085.08333333333
Australia,Master,freelancer,Other,Female,15,107924.5
Australia,Master,freelancer,Other,Female,16,131828.25
Australia,Master,freelancer,Other,Female,17,108170.5
Australia,Master,freelancer,Other,Female,18,181156.5
Australia,Master,freelancer,Other,Female,21,194489.83333333334
Australia,Master,freelancer,Other,Female,22,147340.83333333334
Australia,Master,freelancer,Other,Male,10,122198.918230563
Australia,Master,freelancer,Other,Male,15,117924.5
Australia,Master,freelancer,Other,Male,16,132721.10714285713
Australia,Master,freelancer,Other,Male,17,119003.83333333333
Australia,Master,freelancer,Other,Male,18,179906.5
Australia,Master,freelancer,Other,Male,21,187406.5
Australia,Master,freelancer,Other,Male,22,154007.5
Australia,Master,freelancer,Senior Business Analyst,Female,10,124001.75
Australia,Master,freelancer,Senior Business Analyst,Female,15,125424.5
Australia,Master,freelancer,Senior Financial Analyst,Female,18,181156.5
Australia,Master,freelancer,Senior Operations Manager,Female,10,129001.75
Australia,Master,freelancer,Senior Product Manager,Female,10,129001.75
Australia,Master,freelancer,Senior Product Manager,Male,10,129001.75
Australia,Master,full-time,Junior Business Analyst,Male,1,55996.0625
